id,collection,dc.date.created,dc.date.issued,dc.date.issued[en_US],dc.date[],dc.date[en],dc.date[en_US]
9901,10315/8004,2011-07-13T18:01:52Z
9902,10315/8004,2011-07-13T18:03:55Z
9903,10315/8004,2011-07-13T18:06:01Z
9906,10315/8004,2011-07-13T18:11:01Z
9907,10315/8004,2011-07-13T18:15:02Z
9908,10315/8004,2011-07-13T18:16:39Z
9909,10315/8004,2011-07-13T18:18:01Z
9910,10315/8004,2011-07-13T18:23:12Z
9911,10315/8004,2011-07-13T18:25:21Z
9916,10315/8004,2011-07-13T18:33:13Z
9919,10315/8004,2011-07-13T18:39:02Z
9956,10315/8004,2011-07-21T14:43:54Z
9958,10315/8004,2011-07-21T15:01:35Z
9965,10315/8004,2011-07-21T15:21:24Z
9966,10315/8004,2011-07-21T15:35:02Z
9967,10315/8004,2011-07-21T16:00:22Z
9970,10315/8004,2011-07-21T17:49:09Z
9971,10315/8004,2011-07-21T17:52:15Z
9974,10315/8004,2011-07-21T17:57:57Z
9975,10315/8004,2011-07-21T18:17:17Z
9973,10315/8004,2011-07-21T18:22:34Z
9978,10315/8004,2011-07-21T18:24:23Z
9979,10315/8004,2011-07-21T18:26:09Z
9983,10315/8004,2011-07-21T18:32:34Z
9984,10315/8004,2011-07-21T18:34:40Z
9985,10315/8004,2011-07-21T18:36:02Z
9986,10315/8004,2011-07-21T18:39:28Z
9999,10315/8004,2011-07-22T16:28:46Z
10000,10315/8004,2011-07-22T16:37:43Z
10001,10315/8004,2011-07-22T16:49:31Z
10002,10315/8004,2011-07-22T17:00:17Z,
10003,10315/8004,2011-07-22T17:18:59Z,
10004,10315/8004,2011-07-22T18:00:59Z,
10005,10315/8004,2011-07-22T18:23:31Z,
10006,10315/8004,2011-07-22T18:40:44Z,
10009,10315/8004,2011-07-25T17:37:49Z,
10010,10315/8004,2011-07-25T17:52:58Z,
10077,10315/8004,2011-07-28T19:05:05Z,1910
10095,10315/8004,2011-08-10T16:25:10Z,
10112,10315/8004,2011-08-10T19:26:53Z,
10172,10315/8004,2011-08-18T17:57:30Z,
10405,10315/8004,2011-09-29,1911
