id,collection,dc.date.created,dc.date.issued,dc.date.issued[en_US],dc.date[],dc.date[en],dc.date[en_US]
9699,10315/8004,2011-07-07T19:21:08Z,[n.d.]
9700,10315/8004,2011-07-07T19:22:51Z,[n.d.]
9701,10315/8004,2011-07-07T19:24:24Z,[n.d.]
9702,10315/8004,2011-07-07T19:26:10Z,[n.d.]
9704,10315/8004,2011-07-07T20:05:08Z,[n.d.]
9899,10315/8004,2011-07-13T17:57:31Z,[n.d.]
9901,10315/8004,2011-07-13T18:01:52Z,[n.d.]
9902,10315/8004,2011-07-13T18:03:55Z,[n.d.]
9903,10315/8004,2011-07-13T18:06:01Z,[n.d.]
9906,10315/8004,2011-07-13T18:11:01Z,[n.d.]
9907,10315/8004,2011-07-13T18:15:02Z,[n.d.]
9908,10315/8004,2011-07-13T18:16:39Z,[n.d.]
9909,10315/8004,2011-07-13T18:18:01Z,[n.d.]
9910,10315/8004,2011-07-13T18:23:12Z,[n.d.]
9911,10315/8004,2011-07-13T18:25:21Z,[n.d.]
9916,10315/8004,2011-07-13T18:33:13Z,[n.d.]
9919,10315/8004,2011-07-13T18:39:02Z,[n.d.]
9956,10315/8004,2011-07-21T14:43:54Z,[n.d.]
9958,10315/8004,2011-07-21T15:01:35Z,[n.d.]
9965,10315/8004,2011-07-21T15:21:24Z,[n.d.]
9966,10315/8004,2011-07-21T15:35:02Z,[n.d.]
9967,10315/8004,2011-07-21T16:00:22Z,[n.d.]
9970,10315/8004,2011-07-21T17:49:09Z,[n.d.]
9971,10315/8004,2011-07-21T17:52:15Z,[n.d.]
9974,10315/8004,2011-07-21T17:57:57Z,[n.d.]
9975,10315/8004,2011-07-21T18:17:17Z,[n.d.]
9973,10315/8004,2011-07-21T18:22:34Z,[n.d.]
9978,10315/8004,2011-07-21T18:24:23Z,[n.d.]
9979,10315/8004,2011-07-21T18:26:09Z,[n.d.]
9983,10315/8004,2011-07-21T18:32:34Z,[n.d.]
9984,10315/8004,2011-07-21T18:34:40Z,[n.d.]
9985,10315/8004,2011-07-21T18:36:02Z,[n.d.]
9986,10315/8004,2011-07-21T18:39:28Z,[n.d.]
9999,10315/8004,2011-07-22T16:28:46Z,[n.d.]
10000,10315/8004,2011-07-22T16:37:43Z,[n.d.]
10001,10315/8004,2011-07-22T16:49:31Z,[n.d.]
10002,10315/8004,2011-07-22T17:00:17Z,[n.d.]
10003,10315/8004,2011-07-22T17:18:59Z,[n.d.]
10004,10315/8004,2011-07-22T18:00:59Z,[n.d.]
10005,10315/8004,2011-07-22T18:23:31Z,[n.d.]
10006,10315/8004,2011-07-22T18:40:44Z,[n.d.]
10009,10315/8004,2011-07-25T17:37:49Z,[n.d.]
10010,10315/8004,2011-07-25T17:52:58Z,[n.d.]
10095,10315/8004,2011-08-10T16:25:10Z,[n.d.]
10112,10315/8004,2011-08-10T19:26:53Z,[n.d.]
10172,10315/8004,2011-08-18T17:57:30Z,[n.d.]
